Campaign,Browser,Device Type,Operating System,Supply Vendor,User Hour Of Week,Partner Cost (USD),01 - Total Click + View Conversions
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,42,1.598596006,8
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,43,1.828172328,9
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,44,1.809988924,18
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,45,2.267800436,9
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,46,2.084717186,4
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,47,2.096653729,15
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,48,1.408362538,28
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,57,1.226491169,12
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,58,1.488126884,8
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,59,1.312773464,22
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,60,1.760159201,13
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,61,1.370249937,13
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,62,1.029065834,13
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,63,1.330438158,11
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,64,1.191521384,39
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,65,1.32329061,26
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,66,1.426200035,22
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,67,1.623613732,7
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,68,1.516247184,4
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,69,1.870144465,24
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,70,2.310481225,15
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,71,2.356772468,7
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,72,1.930225596,20
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,73,1.075785676,4
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,80,1.644428348,6
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,81,1.835809784,12
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,82,1.915515505,19
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,83,1.691379428,12
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,84,1.981975633,23
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,85,1.815168789,12
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,86,1.631384036,11
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,87,1.680175266,12
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,88,1.787807718,10
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,89,1.868171646,15
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,90,2.21691111,18
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,91,2.419367289,10
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,92,2.139644985,20
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,93,2.925821386,17
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,94,3.323235447,21
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,95,3.291456897,29
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,96,1.835001873,6
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,97,1.278933623,17
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,104,1.844575298,2
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,105,2.235535895,12
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,106,2.136629087,12
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,107,2.166631611,19
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,108,2.713234188,12
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,109,2.139837894,22
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,110,2.06304602,6
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,111,1.907692058,12
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,112,1.840960058,3
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,113,2.093933353,5
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,114,1.983568337,9
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,115,2.140341965,10
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,116,2.115495743,11
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,117,2.117436242,27
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,118,2.501839313,30
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,119,2.632699562,20
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,120,1.501161919,10
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,128,1.130572679,4
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,129,1.517870944,6
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,130,1.649963939,11
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,131,1.487430516,4
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,132,1.710543693,26
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,133,1.568393026,16
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,134,1.337606591,25
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,135,1.44165028,5
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,136,1.307408711,17
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,137,1.492159028,25
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,138,1.663715821,21
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,139,1.809233502,13
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,140,1.886223085,14
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,141,2.254568658,21
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,142,2.486759174,15
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,143,2.303885912,17
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,144,1.483456815,12
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,145,1.339932712,37
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,152,1.53502161,15
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,153,2.185372287,13
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,154,2.019302445,18
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,155,1.832079588,21
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,156,2.136714654,8
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,157,1.969603804,10
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,158,1.591038753,17
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,159,1.665872647,9
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,160,1.649838112,9
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,161,1.790421419,13
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,162,1.921538877,11
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,163,1.963209278,3
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,164,1.89440267,5
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,165,2.295307766,17
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,166,2.612498538,11
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,167,2.786436193,35
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,0,1.049525446,10
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,8,1.026850848,12
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,9,1.30453484,29
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,10,1.240076275,3
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,11,1.022654488,11
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,12,1.067723748,6
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,22,1.106538175,7
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,23,1.235038477,8
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,70,1.021405194,7
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,82,1.119281807,8
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,84,1.077455181,7
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,89,1.054195176,29
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,90,1.259372261,7
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,91,1.264378714,7
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,92,1.106023324,10
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,93,1.432456675,5
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,94,1.399189337,4
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,95,1.268959026,10
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,104,1.099955929,5
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,105,1.304301565,6
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,106,1.164253954,8
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,107,1.192758871,29
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,108,1.627990079,8
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,109,1.278181494,11
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,110,1.106798416,8
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,111,1.133894269,2
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,112,1.133096182,3
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,113,1.156724546,7
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,114,1.007214985,1
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,115,1.174648692,4
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,116,1.111129297,5
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,117,1.187500143,8
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,118,1.462985507,10
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,119,1.364629636,7
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,120,1.04037359,8
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,129,1.11506805,7
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,130,1.145957241,12
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,131,1.046643683,4
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,132,1.159362947,12
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,137,1.084026441,7
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,138,1.144712817,8
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,139,1.21372535,29
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,140,1.116524772,0
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,141,1.270825194,5
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,142,1.637085866,22
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,143,1.448386267,4
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,152,1.071149632,7
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,rubicon,153,1.271875841,1
